class index,class name,top-1,top-5
0,tench,96.0,98.0
1,goldfish,76.0,94.0
2,great white shark,54.0,98.0
3,tiger shark,57.99999999999999,94.0
4,hammerhead shark,80.0,98.0
5,electric ray,60.0,78.0
6,stingray,32.0,86.0
7,rooster,57.99999999999999,96.0
8,hen,86.0,100.0
9,ostrich,86.0,98.0
10,brambling,88.0,98.0
11,goldfinch,88.0,100.0
12,house finch,84.0,98.0
13,junco,96.0,100.0
14,indigo bunting,100.0,100.0
15,American robin,90.0,100.0
16,bulbul,84.0,100.0
17,jay,72.0,100.0
18,magpie,82.0,94.0
19,chickadee,82.0,100.0
20,American dipper,72.0,86.0
21,kite (bird of prey),70.0,92.0
22,bald eagle,80.0,98.0
23,vulture,54.0,98.0
24,great grey owl,96.0,100.0
25,fire salamander,86.0,94.0
26,smooth newt,60.0,88.0
27,newt,36.0,82.0
28,spotted salamander,72.0,92.0
29,axolotl,72.0,88.0
30,American bullfrog,72.0,94.0
31,tree frog,72.0,94.0
32,tailed frog,52.0,90.0
33,loggerhead sea turtle,76.0,86.0
34,leatherback sea turtle,64.0,84.0
35,mud turtle,46.0,92.0
36,terrapin,44.0,96.0
37,box turtle,74.0,100.0
38,banded gecko,57.99999999999999,84.0
39,green iguana,68.0,96.0
40,Carolina anole,48.0,98.0
41,desert grassland whiptail lizard,64.0,84.0
42,agama,56.00000000000001,92.0
43,frilled-necked lizard,54.0,92.0
44,alligator lizard,42.0,82.0
45,Gila monster,72.0,84.0
46,European green lizard,42.0,94.0
47,chameleon,20.0,72.0
48,Komodo dragon,86.0,98.0
49,Nile crocodile,56.00000000000001,92.0
50,American alligator,62.0,94.0
51,triceratops,88.0,94.0
52,worm snake,40.0,86.0
53,ring-necked snake,60.0,84.0
54,eastern hog-nosed snake,26.0,84.0
55,smooth green snake,30.0,92.0
56,kingsnake,60.0,86.0
57,garter snake,50.0,94.0
58,water snake,28.000000000000004,68.0
59,vine snake,20.0,76.0
60,night snake,0.0,16.0
61,boa constrictor,62.0,90.0
62,African rock python,40.0,80.0
63,Indian cobra,46.0,82.0
64,green mamba,56.00000000000001,88.0
65,sea snake,52.0,86.0
66,Saharan horned viper,30.0,78.0
67,eastern diamondback rattlesnake,24.0,86.0
68,sidewinder rattlesnake,70.0,94.0
69,trilobite,92.0,98.0
70,harvestman,80.0,94.0
71,scorpion,57.99999999999999,80.0
72,yellow garden spider,57.99999999999999,98.0
73,barn spider,18.0,92.0
74,European garden spider,66.0,96.0
75,southern black widow,84.0,94.0
76,tarantula,88.0,100.0
77,wolf spider,76.0,90.0
78,tick,50.0,76.0
79,centipede,40.0,74.0
80,black grouse,82.0,94.0
81,ptarmigan,66.0,90.0
82,ruffed grouse,84.0,92.0
83,prairie grouse,52.0,96.0
84,peafowl,86.0,92.0
85,quail,57.99999999999999,94.0
86,partridge,56.00000000000001,84.0
87,african grey parrot,92.0,94.0
88,macaw,90.0,96.0
89,sulphur-crested cockatoo,96.0,98.0
90,lorikeet,96.0,100.0
91,coucal,84.0,98.0
92,bee eater,68.0,100.0
93,hornbill,64.0,86.0
94,hummingbird,46.0,94.0
95,jacamar,98.0,100.0
96,toucan,76.0,94.0
97,duck,50.0,92.0
98,red-breasted merganser,94.0,100.0
99,goose,46.0,86.0
100,black swan,74.0,100.0
101,tusker,30.0,94.0
102,echidna,76.0,98.0
103,platypus,44.0,64.0
104,wallaby,82.0,92.0
105,koala,78.0,90.0
106,wombat,66.0,80.0
107,jellyfish,70.0,86.0
108,sea anemone,64.0,94.0
109,brain coral,80.0,96.0
110,flatworm,30.0,68.0
111,nematode,60.0,80.0
112,conch,48.0,78.0
113,snail,66.0,84.0
114,slug,42.0,70.0
115,sea slug,64.0,98.0
116,chiton,80.0,98.0
117,chambered nautilus,68.0,84.0
118,Dungeness crab,88.0,98.0
119,rock crab,40.0,82.0
120,fiddler crab,60.0,92.0
121,red king crab,44.0,88.0
122,American lobster,62.0,100.0
